ranking,ID,Title,Year,Cited by,DOI,score_tematico,score_actualidad,score_citaciones,score_metodologico,total_score,metodologia,resultados,objetivo,hallazgos
70,94,Youth education decisions and occupational misalignment and mismatch: evidence from a representative cohort study of Australian youth,2024,1,10.1080/03054985.2023.2282628,0.10344827586206896,0.8,0.17144160057391344,0.5,0.2960124580458172,Panel Data; Estudio Descriptivo,Factores educativos; Desigualdad de género,"In theory, misalignment of education and career aspirations in high school is a crucial determinant of post-school education and career mismatch. However, existing scholarship investigates the social influence and rational choice determinants of misalignment and mismatch separately.","the results show that young people who were female, misaligned at school, in vocational pathways, were in relatively poor health and wealth when growing up and had a father with lower levels of education were more likely to be mismatched. show that young people who were female, misaligned at school, in vocational pathways, were in relatively poor health and wealth when growing up and had a father with lower levels of education were more likely to be mismatched."
71,43,DETERMINANTS OF THE POSITION OF YOUNG PEOPLE IN THE LABOUR MARKET IN EUROPEAN UNION COUNTRIES: A PLS-SEM MODEL AND INTERVENTION STRATEGIES; [DETERMINANTY POZYCJI MŁODYCH LUDZI NA RYNKU PRACY W KRAJACH UNII EUROPEJSKIEJ: MODEL PLS-SEM I STRATEGIE INTERWENCJI],2025,0,10.34659/eis.2025.94.3.1253,0.1896551724137931,1.0,0.0,0.0,0.29482758620689653,No clasificado,Factores educativos; Mercado laboral; Políticas públicas,The aim of this study is to assess the position of young people in the labour markets of European Union countries and to identify their key determinants.,"The results indicate that economic performance exerts the strongest positive impact on the position of young people, followed by education, while social exclusion negatively affects youth labour market integration."
72,132,The effects of test scores and truancy on youth unemployment and inactivity: a simultaneous equations approach,2020,9,10.1007/s00181-019-01691-8,0.2413793103448276,0.1,0.5695166695789404,0.4,0.29459298908820186,Econometría,Factores educativos; Mercado laboral,"We analyse the relationships between test scores, truancy and labour market outcomes for youths.",we show that models of youth unemployment and NEET that ignore the correlation between the unobservable determinants of test scores and truancy will lead to misleading inference about the strength of their effects.
73,11,Who Gets a Job?,2025,0,10.1007/978-3-031-92674-7_10,0.10344827586206896,1.0,0.0,0.4,0.29172413793103447,Econometría,Factores educativos,"This study by Paul F. Lazarsfeld and Hazel Gaudet, published in 1941, investigates the influence of social and personality factors on the success and failure of job-hunting among young people.","Findings reveal that while both groups were similar in intelligence, appearance, and basic social contacts, significant differences exist in economic status and personality traits."
74,25,YOUTH LABOR MARKET PERFORMANCE AND BIG MACROECONOMIC SHOCKS,2023,0,10.4324/9781003144366-39,0.2413793103448276,0.6,0.0,0.5,0.2906896551724138,Econometría; Estudio Descriptivo,Factores educativos; Desigualdad de género; Mercado laboral,We investigate the existence of structural breaks in the dynamics of several youth labor market indicators and the impact of financial crises and the pandemic shock.,"The above results jointly with the investigation of several other determinants of youth labor market performance have significant implications for defining targeted policy interventions. © 2023 selection and editorial matter, Bruno Dallago and Sara Casagrande; individual chapters, the contributors."
75,114,Determinants of choices of livelihood strategies among young people in Rwanda,2024,3,10.1080/09614524.2023.2286198,0.10344827586206896,0.8,0.3428832011478269,0.1,0.2903007781605999,Estudio Descriptivo,Factores educativos; Mercado laboral,"This paper assesses livelihood strategies, the return to labour and drivers of choice of livelihood strategies among rural youth in Rwanda.","show that youth in Rwanda pursue four livelihood strategies, namely, agriculture, non-farm wages, self-employment, and diversification. The findings show that youth in Rwanda pursue four livelihood strategies, namely, agriculture, non-farm wages, self-employment, and diversification."
76,138,NEETs: THE MEASUREMENT ISSUE AND THE MOST RECENT SCENARIOS,2023,0,10.26350/000518_000120,0.1724137931034483,0.6,0.0,0.8,0.28620689655172415,Logit/Probit; Panel Data,Factores educativos; Desigualdad de género,"This paper offers novel evidence and a discussion of the main measurement issues associated with the complex phenomenon of youth not in employment, education or training (NEET) in Italy. The problem is quite relevant for Italian youths, and it is characterized by important gender differences.",findings suggest a relevant persistence in this condition for both males and females. findings suggest the need for additional policy interventions aimed at reducing both the risk of being NEET and the consistency of the phenomenon.
77,83,Role of Social Networks in Youth Activity Status in India: A Gendered Analysis,2024,0,10.1177/00252921241308188,0.1724137931034483,0.8,0.0,0.4,0.28620689655172415,Logit/Probit,Factores educativos; Desigualdad de género; Políticas públicas; Transición escuela-trabajo,This study contributes both towards the social network literature and assessing the determinants of youth activity status for the first time in India.,show that having more ties increases the odds of choosing education over an early entry into the labour force. we find that having access to strong ties increases the odds of being either in education or NEET over an early entry into the labour force for males.
78,35,Determinants of youth unemployment: Empirical analysis of oecd and eu member countries in 2000-2017,2021,11,,0.2413793103448276,0.2,0.6146117091210943,0.0,0.28361199699663264,No clasificado,Factores educativos; Mercado laboral; Políticas públicas,"This article examines the high youth unemployment rate of developed countries after the financial crisis of 2008 and examines various factors that affect the youth labor market. Persistently high unemployment, particularly among the youth, is a concern in many countries.",finding suggests that a high youth unemployment rate does not have to be attributed exclusively to the economic crisis and that there is room for improvement by designing a more effective youth labor policy.
79,63,Youth washing as a corporate social responsibility tactic of health-harming industries,2026,0,10.1093/heapro/daag018,0.15517241379310345,1.0,0.0,0.0,0.2775862068965517,No clasificado,Factores educativos; Políticas públicas,"The marketing tactics of health-harming industries are broader than advertising. Health-harming industries use a range of promotional and public relations strategies to increase corporate branding, promote their products, and shape their image as socially responsible corporate citizens.",© The Author(s) 2026. Published by Oxford University Press.
80,111,Analysis of Inclusive Governance for Public Authorities Within the Framework of a Human-Centered Model of Public Administration,2026,0,10.14254/1800-5845/2026.22-2.16,0.15517241379310345,1.0,0.0,0.0,0.2775862068965517,No clasificado,Políticas públicas; Transición escuela-trabajo,"The transition to inclusive and sustainable growth is a key strategic goal of the state policy of the Republic of Kazakhstan and is consistent with the country's international commitments in the field of sustainable develop-ment. Inclusive growth is aimed not only at achieving high rates of economic growth, but also at ensuring its quality in terms of social impact, justice and equal access to ...","© 2026, Economic Laboratory for Transition Research. All rights reserved."
81,74,Youth’s Overseas Employment and Entrepreneurship: The Case of Taiwan,2022,3,10.1080/1540496X.2021.1917362,0.1724137931034483,0.4,0.3428832011478269,0.4,0.27478353678128953,Logit/Probit,Factores educativos; Capital humano,This paper explores the determinants for Taiwan’s youth overseas employment and entrepreneurship using the questionnaire administered in 2015 for residents between 20–45 years old.,"In contrast, personal considerations, such as broadening international vision and resolving career bottlenecks are more important influences for Taiwan’s youth to seek employment in China. © 2021 Taylor & Francis Group, LLC."
